,h,ns,sigma8,Omegab,Omegam,Neff,mnu,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,17889969.933505554,-421911.26470295014,-2054232.6608202732,1761944.0075883348,-5734305.27554891,13086.385818669705,96518.30986810802,-2388476.747879588,-2293715.9898870015,-1898226.2861027045,-1738940.5412526415,-318.37501877481316,-283.8312860618383,-215.7441743442784,-175.94930712243686
ns,-421911.26470295014,331814.8340281119,1017.4746970617052,-1138907.6692895752,583179.3274865206,-10193.646529097772,-34013.73815516991,59713.01284009431,39986.90642902425,8984.261059989949,-38678.59247909598,28.010187472828072,24.53555987044682,17.849955609818387,12.892670214031675
sigma8,-2054232.6608202732,1017.4746970617052,311183.4257546774,-124900.24531250121,439969.1478232039,-835.4788039621519,-7285.37322034844,242096.89511866306,229590.48253536894,189746.31378428842,177574.634945062,30.359893413820483,26.549965505032592,19.92945240833426,16.279052949143278
Omegab,1761944.0075883348,-1138907.6692895752,-124900.24531250121,5562427.320231689,-2514818.4458808224,46908.52109168271,124388.90472724693,-336977.8024609276,-266822.3200103941,-143418.06454833545,25624.009043498256,-102.93159355194949,-90.51930127003325,-66.6418193504505,-49.974616039145516
Omegam,-5734305.27554891,583179.3274865206,439969.1478232039,-2514818.4458808224,3350850.0295463605,-20993.35613347804,-77532.92738470234,898031.0995716748,897885.1261529693,756563.9328541798,675673.8078166605,130.98693483864395,122.89765073189906,97.9232367256563,83.47994294021396
Neff,13086.385818669705,-10193.646529097772,-835.4788039621519,46908.52109168271,-20993.35613347804,429.5666667370224,1072.3917678743478,-2757.7852477763463,-2114.73808966626,-1070.5710077162375,442.21827728474636,-0.8922082341907289,-0.7807952091973249,-0.5765450324036779,-0.4241172340112962
mnu,96518.30986810802,-34013.73815516991,-7285.37322034844,124388.90472724693,-77532.92738470234,1072.3917678743478,3982.0720025995356,-13632.695967016585,-10861.684295286484,-6331.822103877072,-962.2617180497327,-3.454084387636246,-2.9454316957381286,-2.1206886191817724,-1.5349677302817983
lnbgs8_1,-2388476.747879588,59713.01284009431,242096.89511866306,-336977.8024609276,898031.0995716748,-2757.7852477763463,-13632.695967016585,1264717.068797268,0.0,0.0,0.0,145.51332462094126,0.0,0.0,0.0
lnbgs8_2,-2293715.9898870015,39986.90642902425,229590.48253536894,-266822.3200103941,897885.1261529693,-2114.73808966626,-10861.684295286484,0.0,1248318.400453299,0.0,0.0,0.0,134.57978488584362,0.0,0.0
lnbgs8_3,-1898226.2861027045,8984.261059989949,189746.31378428842,-143418.06454833545,756563.9328541798,-1070.5710077162375,-6331.822103877072,0.0,0.0,1064179.9088581973,0.0,0.0,0.0,106.3471486310581,0.0
lnbgs8_4,-1738940.5412526415,-38678.59247909598,177574.634945062,25624.009043498256,675673.8078166605,442.21827728474636,-962.2617180497327,0.0,0.0,0.0,1013023.2364064059,0.0,0.0,0.0,91.03630111380427
Ps_1,-318.37501877481316,28.010187472828072,30.359893413820483,-102.93159355194949,130.98693483864395,-0.8922082341907289,-3.454084387636246,145.51332462094126,0.0,0.0,0.0,0.02493798801718631,0.0,0.0,0.0
Ps_2,-283.8312860618383,24.53555987044682,26.549965505032592,-90.51930127003325,122.89765073189906,-0.7807952091973249,-2.9454316957381286,0.0,134.57978488584362,0.0,0.0,0.0,0.02174459209554001,0.0,0.0
Ps_3,-215.7441743442784,17.849955609818387,19.92945240833426,-66.6418193504505,97.9232367256563,-0.5765450324036779,-2.1206886191817724,0.0,0.0,106.3471486310581,0.0,0.0,0.0,0.016171637422544224,0.0
Ps_4,-175.94930712243686,12.892670214031675,16.279052949143278,-49.974616039145516,83.47994294021396,-0.4241172340112962,-1.5349677302817983,0.0,0.0,0.0,91.03630111380427,0.0,0.0,0.0,0.012941365636770133
