,mnu,h,ns,Neff,sigma8,Omegab,Omegam,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
mnu,3911.88108668104,98797.22486180693,-33475.88435093686,1081.6171319008822,-7745.542412681044,120659.48574677118,-77131.73638509495,-13871.552196022207,-11224.981032877547,-6467.842983060891,-1305.548415697478,-3.443743964815186,-2.9539498974505527,-2.0927837898180877,-1.5383433718748885
h,98797.22486180693,17876831.729006168,-422534.83246208343,13661.121808132386,-2054097.0729738502,1542953.0612669038,-5729865.655156325,-2387520.2031332552,-2292791.737469092,-1897233.4809178836,-1737842.375304794,-318.3320319832113,-283.812694955887,-215.68800843957993,-175.90553605851733
ns,-33475.88435093686,-422534.83246208343,331694.60403002263,-10321.4242603221,1124.4900211690856,-1130225.1997947716,582206.8106842635,59717.21065409953,40066.12758578968,9011.110440867022,-38734.20870988452,28.014793711454015,24.54418069385909,17.853125348492462,12.888271760311673
Neff,1081.6171319008822,13661.121808132386,-10321.4242603221,442.7247735945343,-887.1488009043256,46928.053394217604,-21378.894837432865,-2811.751286945484,-2177.5985518667126,-1130.1330271598786,388.40991050606044,-0.8977835659336665,-0.7911341280927858,-0.582468962214425,-0.4323296560238985
sigma8,-7745.542412681044,-2054097.0729738502,1124.4900211690856,-887.1488009043256,311313.2667819175,-92223.02108483724,439683.02941031265,242278.2398664148,229631.07262953866,189550.75005477964,177541.8905792433,30.387855841418016,26.55900052351014,19.925726608788025,16.280234657508377
Omegab,120659.48574677118,1542953.0612669038,-1130225.1997947716,46928.053394217604,-92223.02108483724,5451581.88057032,-2439061.132486977,-308967.79428265756,-240110.9341680542,-123022.10305055388,45194.320255004684,-99.28301161978223,-87.39829193622577,-64.5723746734476,-47.9970152650495
Omegam,-77131.73638509495,-5729865.655156325,582206.8106842635,-21378.894837432865,439683.02941031265,-2439061.132486977,3342352.5300675193,897692.9384333236,896720.3654586058,755579.0865804844,674763.4955034037,130.98655794044532,122.82149787760045,97.84001937819284,83.43382341735604
lnbgs8_1,-13871.552196022207,-2387520.2031332552,59717.21065409953,-2811.751286945484,242278.2398664148,-308967.79428265756,897692.9384333236,1264254.7322770194,0.0,0.0,0.0,145.5103344116063,0.0,0.0,0.0
lnbgs8_2,-11224.981032877547,-2292791.737469092,40066.12758578968,-2177.5985518667126,229631.07262953866,-240110.9341680542,896720.3654586058,0.0,1247822.528062792,0.0,0.0,0.0,134.57302123666025,0.0,0.0
lnbgs8_3,-6467.842983060891,-1897233.4809178836,9011.110440867022,-1130.1330271598786,189550.75005477964,-123022.10305055388,755579.0865804844,0.0,0.0,1063710.5823858618,0.0,0.0,0.0,106.33752654809392,0.0
lnbgs8_4,-1305.548415697478,-1737842.375304794,-38734.20870988452,388.40991050606044,177541.8905792433,45194.320255004684,674763.4955034037,0.0,0.0,0.0,1012495.5007777954,0.0,0.0,0.0,91.02157894109924
Ps_1,-3.443743964815186,-318.3320319832113,28.014793711454015,-0.8977835659336665,30.387855841418016,-99.28301161978223,130.98655794044532,145.5103344116063,0.0,0.0,0.0,0.024945187388274233,0.0,0.0,0.0
Ps_2,-2.9539498974505527,-283.812694955887,24.54418069385909,-0.7911341280927858,26.55900052351014,-87.39829193622577,122.82149787760045,0.0,134.57302123666025,0.0,0.0,0.0,0.02175047325507678,0.0,0.0
Ps_3,-2.0927837898180877,-215.68800843957993,17.853125348492462,-0.582468962214425,19.925726608788025,-64.5723746734476,97.84001937819284,0.0,0.0,106.33752654809392,0.0,0.0,0.0,0.016175535200412088,0.0
Ps_4,-1.5383433718748885,-175.90553605851733,12.888271760311673,-0.4323296560238985,16.280234657508377,-47.9970152650495,83.43382341735604,0.0,0.0,0.0,91.02157894109924,0.0,0.0,0.0,0.012943780135076122
