,mnu,Neff,sigma8,Omegam,ns,h,Omegab,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
mnu,3693.2197947573213,1021.382351354898,-7981.80906400415,-75427.4923479104,-32103.138251040797,98462.89656866898,118176.27438146443,-13884.03516803194,-11157.413760368589,-6684.22309205048,-1552.9945306723093,-3.3419424061513205,-2.843810515220481,-2.0370473413897985,-1.4843263106023141
Neff,1021.382351354898,429.08522054200523,-922.986080546474,-21102.370652395613,-10186.533577451435,13675.649201689652,46862.83405424686,-2807.4768965872277,-2192.638479342363,-1113.5142622970175,383.0278786317049,-0.8985352613540867,-0.7891077847504842,-0.5795711162111854,-0.4297814939427923
sigma8,-7981.80906400415,-922.986080546474,311164.9555914607,440955.0336829947,1282.0430781003943,-2052914.471933735,-107263.86253710612,242139.70285235398,229644.72234485514,189593.09421781678,177536.80933292545,30.367368789983388,26.554478033710637,19.921353954797507,16.279387198869767
Omegam,-75427.4923479104,-21102.370652395613,440955.0336829947,3352575.3455876224,583353.136586935,-5739178.869737495,-2489930.4841232453,898654.2251272142,898431.295460857,757119.221985498,676116.794684791,131.0811748591668,122.97008360173889,97.9820187482478,83.53400100192823
ns,-32103.138251040797,-10186.533577451435,1282.0430781003943,583353.136586935,331722.33271276526,-423844.14713508455,-1139201.1635806833,59886.357318960305,40176.225782901136,9159.550892621075,-38546.68808224608,28.030594321590122,24.55372474747642,17.868020339426828,12.901215874432406
h,98462.89656866898,13675.649201689652,-2052914.471933735,-5739178.869737495,-423844.14713508455,17871709.475780614,1648864.2421883838,-2387323.744909704,-2292655.87873175,-1897112.091269646,-1737818.2285275864,-318.2912367542526,-283.77102219086487,-215.6670565556107,-175.88693423212078
Omegab,118176.27438146443,46862.83405424686,-107263.86253710612,-2489930.4841232453,-1139201.1635806833,1648864.2421883838,5546856.837349524,-321816.2628692242,-254483.73262645712,-133200.90057888784,34988.216532062565,-101.04154697713201,-89.10800984113912,-65.73394611291708,-49.0612370853176
lnbgs8_1,-13884.03516803194,-2807.4768965872277,242139.70285235398,898654.2251272142,59886.357318960305,-2387323.744909704,-321816.2628692242,1264537.3668559738,0.0,0.0,0.0,145.51266002421482,0.0,0.0,0.0
lnbgs8_2,-11157.413760368589,-2192.638479342363,229644.72234485514,898431.295460857,40176.225782901136,-2292655.87873175,-254483.73262645712,0.0,1248133.8026924115,0.0,0.0,0.0,134.5776301491094,0.0,0.0
lnbgs8_3,-6684.22309205048,-1113.5142622970175,189593.09421781678,757119.221985498,9159.550892621075,-1897112.091269646,-133200.90057888784,0.0,0.0,1064011.3436379642,0.0,0.0,0.0,106.34392874793765,0.0
lnbgs8_4,-1552.9945306723093,383.0278786317049,177536.80933292545,676116.794684791,-38546.68808224608,-1737818.2285275864,34988.216532062565,0.0,0.0,0.0,1012837.902143613,0.0,0.0,0.0,91.03136735350793
Ps_1,-3.3419424061513205,-0.8985352613540867,30.367368789983388,131.0811748591668,28.030594321590122,-318.2912367542526,-101.04154697713201,145.51266002421482,0.0,0.0,0.0,0.02494108110175352,0.0,0.0,0.0
Ps_2,-2.843810515220481,-0.7891077847504842,26.554478033710637,122.97008360173889,24.55372474747642,-283.77102219086487,-89.10800984113912,0.0,134.5776301491094,0.0,0.0,0.0,0.021746966327065565,0.0,0.0
Ps_3,-2.0370473413897985,-0.5795711162111854,19.921353954797507,97.9820187482478,17.868020339426828,-215.6670565556107,-65.73394611291708,0.0,0.0,106.34392874793765,0.0,0.0,0.0,0.016173120267205094,0.0
Ps_4,-1.4843263106023141,-0.4297814939427923,16.279387198869767,83.53400100192823,12.901215874432406,-175.88693423212078,-49.0612370853176,0.0,0.0,0.0,91.03136735350793,0.0,0.0,0.0,0.012942242484135965
