,sigma8,mnu,Neff,Omegab,h,Omegam,ns,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
sigma8,269837.16690605757,-2958.3876469928327,416.8004110908274,14299.628818871337,-1665194.5266778995,328539.9953304872,-41353.26731232354,201111.55894654186,193787.8628196553,163744.05308976737,158522.6048641938,18.097406094645585,16.36060480003705,12.837628064211462,11.218929842556392
mnu,-2958.3876469928327,3274.2534307263377,862.2382158165772,101227.06050474805,43095.409806059775,-52457.17859784438,-26617.543880419413,-5857.974324521387,-4034.133973950602,-1295.52367150401,2698.482581735195,-1.5254769381083153,-1.3198765736442823,-0.957262823622675,-0.7017597444830899
Neff,416.8004110908274,862.2382158165772,364.2572362932949,39804.09374191984,-2613.289178660125,-13333.803951669595,-7984.388129834564,-452.19782314035956,-45.31784202635026,484.81217149936197,1597.865278966291,-0.3349209934388633,-0.30102691435887863,-0.22587758957610285,-0.16720016377897703
Omegab,14299.628818871337,101227.06050474805,39804.09374191984,4783165.771020681,27876.52116653259,-1678783.9772726619,-895593.2364830376,-83618.06081212929,-40318.778581733,24589.962775726046,151387.69787159964,-41.13503070150468,-37.326976163404616,-28.342373340529573,-21.53923185529265
h,-1665194.5266778995,43095.409806059775,-2613.289178660125,27876.52116653259,13589343.073283361,-4018408.894319858,124804.79377976205,-1839652.8501050575,-1803009.4827729845,-1534727.7301237918,-1469240.7892499461,-173.0390666190103,-159.67658902943606,-127.1206645781426,-111.37437880613288
Omegam,328539.9953304872,-52457.17859784438,-13333.803951669595,-1678783.9772726619,-4018408.894319858,2331539.1410305416,312637.3012668169,620896.7367904374,638828.6467318475,556281.9565032128,519674.12345810444,68.55748720810526,66.74712272507848,55.61576278716206,50.57593461521994
ns,-41353.26731232354,-26617.543880419413,-7984.388129834564,-895593.2364830376,124804.79377976205,312637.3012668169,253791.81236847857,-19835.923513486952,-32352.227384942664,-45538.476818974115,-80013.8018387023,8.661882983960489,7.586947992248054,5.437707976350885,3.556227791325236
lnbgs8_1,201111.55894654186,-5857.974324521387,-452.19782314035956,-83618.06081212929,-1839652.8501050575,620896.7367904374,-19835.923513486952,1008299.8580636515,0.0,0.0,0.0,85.86421172716213,0.0,0.0,0.0
lnbgs8_2,193787.8628196553,-4034.133973950602,-45.31784202635026,-40318.778581733,-1803009.4827729845,638828.6467318475,-32352.227384942664,0.0,1013733.6885570721,0.0,0.0,0.0,81.83047251418941,0.0,0.0
lnbgs8_3,163744.05308976737,-1295.52367150401,484.81217149936197,24589.962775726046,-1534727.7301237918,556281.9565032128,-45538.476818974115,0.0,0.0,886286.7272223976,0.0,0.0,0.0,67.34398271705678,0.0
lnbgs8_4,158522.6048641938,2698.482581735195,1597.865278966291,151387.69787159964,-1469240.7892499461,519674.12345810444,-80013.8018387023,0.0,0.0,0.0,877400.8656716066,0.0,0.0,0.0,61.4281914804787
Ps_1,18.097406094645585,-1.5254769381083153,-0.3349209934388633,-41.13503070150468,-173.0390666190103,68.55748720810526,8.661882983960489,85.86421172716213,0.0,0.0,0.0,0.00978941359857512,0.0,0.0,0.0
Ps_2,16.36060480003705,-1.3198765736442823,-0.30102691435887863,-37.326976163404616,-159.67658902943606,66.74712272507848,7.586947992248054,0.0,81.83047251418941,0.0,0.0,0.0,0.008905806088564203,0.0,0.0
Ps_3,12.837628064211462,-0.957262823622675,-0.22587758957610285,-28.342373340529573,-127.1206645781426,55.61576278716206,5.437707976350885,0.0,0.0,67.34398271705678,0.0,0.0,0.0,0.006996356567993024,0.0
Ps_4,11.218929842556392,-0.7017597444830899,-0.16720016377897703,-21.53923185529265,-111.37437880613288,50.57593461521994,3.556227791325236,0.0,0.0,0.0,61.4281914804787,0.0,0.0,0.0,0.006077439671177947
