,h,Omegam,Omegab,sigma8,ns,w0,wa,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,264494.70388839755,123051.91851065314,-735172.1823662464,-195167.52783957502,180422.99174526252,-65660.73577188887,-9849.031757843137,-20617.63931044144,-6348.4727019918755,-120647.14685011737,-114967.12594467185,-101087.92828810614,-114366.07363384358,-8.76924405296946,-6.058736702696732,-3.4921599962788163,-2.303964910078497
Omegam,123051.91851065314,3374370.970038525,-2508530.1530648633,441997.35157017206,588453.9921360753,327850.36635794333,83077.4043551844,-36999.57671694343,-20473.410033859454,904030.8868304833,904602.7939055694,763141.5912768681,682662.8924120448,130.8281235187682,122.84563664692489,97.99409659527805,83.6827230056025
Omegab,-735172.1823662464,-2508530.1530648633,5585617.191013716,-110422.31361819794,-1145581.679635294,18174.54855783315,7831.13221430989,87325.780439763,45985.554393658575,-326619.0186269353,-259022.3678986067,-136784.8935350048,32501.391103782516,-101.1643591222402,-89.26985684395108,-65.92466330462072,-49.288084347774614
sigma8,-195167.52783957502,441997.35157017206,-110422.31361819794,313618.13771443657,1992.3455978432648,96207.04868704992,14307.953811213953,9528.92159801429,-858.8903572327623,243907.78853598988,231439.30854178395,191210.44676521502,179268.67301844613,30.39432114122037,26.593028632271075,19.966023754177765,16.336404010002436
ns,180422.99174526252,588453.9921360753,-1145581.679635294,1992.3455978432648,333876.1488446186,-37541.78690519175,-9460.257752314785,-25625.040750096763,-9915.397676335124,61124.116174660914,41339.48401490682,10025.265467264704,-38095.18423151583,28.090960380970618,24.627222537226395,17.942848807679077,12.981185501838969
w0,-65660.73577188887,327850.36635794333,18174.54855783315,96207.04868704992,-37541.78690519175,79980.06024219522,19022.582850153714,5741.773470201311,99.4088340506226,147931.43012318294,150975.4775221208,131855.16936595744,129823.59433554916,13.004308261859727,12.938233971883964,10.722465007223718,9.574649719358472
wa,-9849.031757843137,83077.4043551844,7831.13221430989,14307.953811213953,-9460.257752314785,19022.582850153714,4982.554901934556,1109.1774530159082,54.590218580979496,31035.412919555303,34323.6281797644,31718.028286312077,32754.64028900916,2.4968644240793756,2.7449640158855977,2.44741240275395,2.3314202524531313
mnu,-20617.63931044144,-36999.57671694343,87325.780439763,9528.92159801429,-25625.040750096763,5741.773470201311,1109.1774530159082,2448.02668165017,723.8414075464258,1131.0140782438211,2871.9600871280136,4573.479482279912,8290.921902752512,-1.177071753479543,-0.9574936650372305,-0.6331886736306989,-0.36025141235416513
Neff,-6348.4727019918755,-20473.410033859454,45985.554393658575,-858.8903572327623,-9915.397676335124,99.4088340506226,54.590218580979496,723.8414075464258,412.21194517523134,-2693.6329863992105,-2109.86653535777,-1071.0372860703883,379.17987616521077,-0.863228554055793,-0.7601382365242815,-0.5591962472706714,-0.4158503631754003
lnbgs8_1,-120647.14685011737,904030.8868304833,-326619.0186269353,243907.78853598988,61124.116174660914,147931.43012318294,31035.412919555303,1131.0140782438211,-2693.6329863992105,1274445.9842336122,0.0,0.0,0.0,145.63519656307906,0.0,0.0,0.0
lnbgs8_2,-114967.12594467185,904602.7939055694,-259022.3678986067,231439.30854178395,41339.48401490682,150975.4775221208,34323.6281797644,2871.9600871280136,-2109.86653535777,0.0,1258601.2829662168,0.0,0.0,0.0,134.77511526492808,0.0,0.0
lnbgs8_3,-101087.92828810614,763141.5912768681,-136784.8935350048,191210.44676521502,10025.265467264704,131855.16936595744,31718.028286312077,4573.479482279912,-1071.0372860703883,0.0,0.0,1073755.2660152474,0.0,0.0,0.0,106.59276610185015,0.0
lnbgs8_4,-114366.07363384358,682662.8924120448,32501.391103782516,179268.67301844613,-38095.18423151583,129823.59433554916,32754.64028900916,8290.921902752512,379.17987616521077,0.0,0.0,0.0,1023430.2451286593,0.0,0.0,0.0,91.36899719486601
Ps_1,-8.76924405296946,130.8281235187682,-101.1643591222402,30.39432114122037,28.090960380970618,13.004308261859727,2.4968644240793756,-1.177071753479543,-0.863228554055793,145.63519656307906,0.0,0.0,0.0,0.02476931215933324,0.0,0.0,0.0
Ps_2,-6.058736702696732,122.84563664692489,-89.26985684395108,26.593028632271075,24.627222537226395,12.938233971883964,2.7449640158855977,-0.9574936650372305,-0.7601382365242815,0.0,134.77511526492808,0.0,0.0,0.0,0.021610812860349844,0.0,0.0
Ps_3,-3.4921599962788163,97.99409659527805,-65.92466330462072,19.966023754177765,17.942848807679077,10.722465007223718,2.44741240275395,-0.6331886736306989,-0.5591962472706714,0.0,0.0,106.59276610185015,0.0,0.0,0.0,0.01608602840189871,0.0
Ps_4,-2.303964910078497,83.6827230056025,-49.288084347774614,16.336404010002436,12.981185501838969,9.574649719358472,2.3314202524531313,-0.36025141235416513,-0.4158503631754003,0.0,0.0,0.0,91.36899719486601,0.0,0.0,0.0,0.012889324621126973
