,mnu,Neff,sigma8,h,ns,Omegab,Omegam,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
mnu,3064.222329565226,822.5342466361802,-3860.7112707822535,47934.41294120946,-25135.099912121714,96621.85617620306,-51937.01975265291,-6542.6317227511645,-4720.123138789582,-1992.9473543523127,1870.2723347776127,-1.5143428804423036,-1.3064970097040087,-0.9521822857595272,-0.7015632589225728
Neff,822.5342466361802,362.85349225910096,340.855981058118,-2107.3058539983417,-7967.516021627383,39754.429869314525,-13420.092521695964,-492.4064021272611,-110.1852288906698,441.2296302455377,1549.6046186030312,-0.3388586161387036,-0.3052920626932676,-0.22954889923032978,-0.17030996147440686
sigma8,-3860.7112707822535,340.855981058118,269775.7446179633,-1663909.2351597995,-41112.427951393,29882.85766151428,329373.2793181119,201132.530995504,193825.71979594725,163584.79926111703,158475.01171989046,18.101156723218125,16.361868299462408,12.82899872227219,11.218043414160753
h,47934.41294120946,-2107.3058539983417,-1663909.2351597995,13573325.253657568,123117.59199678086,-62457.32247716159,-4023677.267640923,-1838721.9501179736,-1802133.313686903,-1533834.429756133,-1468358.6506456002,-172.98397247824892,-159.63029260959695,-127.06931751970362,-111.33354345537646
ns,-25135.099912121714,-7967.516021627383,-41112.427951393,123117.59199678086,253634.53939378576,-898519.4352009122,313096.62414690095,-19666.97981563132,-32160.684586038762,-45374.16462700457,-79879.15067902449,8.674802408199778,7.600922620068803,5.448929678075219,3.563965656154393
Omegab,96621.85617620306,39754.429869314525,29882.85766151428,-62457.32247716159,-898519.4352009122,4780876.17395434,-1660301.6470391038,-70839.86338871802,-29522.685798419465,34111.664115513966,159887.88906711125,-40.051587984253636,-36.445484757579905,-27.698166033822908,-20.946332185755956
Omegam,-51937.01975265291,-13420.092521695964,329373.2793181119,-4023677.267640923,313096.62414690095,-1660301.6470391038,2334097.8368202206,621531.4439433407,639385.5491518907,556834.3563994843,520040.7051016869,68.65627649583593,66.83881486894464,55.68721551948167,50.63472343686436
lnbgs8_1,-6542.6317227511645,-492.4064021272611,201132.530995504,-1838721.9501179736,-19666.97981563132,-70839.86338871802,621531.4439433407,1008144.9772088957,0.0,0.0,0.0,85.86632130711081,0.0,0.0,0.0
lnbgs8_2,-4720.123138789582,-110.1852288906698,193825.71979594725,-1802133.313686903,-32160.684586038762,-29522.685798419465,639385.5491518907,0.0,1013574.4986223303,0.0,0.0,0.0,81.83125806777775,0.0,0.0
lnbgs8_3,-1992.9473543523127,441.2296302455377,163584.79926111703,-1533834.429756133,-45374.16462700457,34111.664115513966,556834.3563994843,0.0,0.0,886136.2889877849,0.0,0.0,0.0,67.34308892078778,0.0
lnbgs8_4,1870.2723347776127,1549.6046186030312,158475.01171989046,-1468358.6506456002,-79879.15067902449,159887.88906711125,520040.7051016869,0.0,0.0,0.0,877243.7919606114,0.0,0.0,0.0,61.42551664566267
Ps_1,-1.5143428804423036,-0.3388586161387036,18.101156723218125,-172.98397247824892,8.674802408199778,-40.051587984253636,68.65627649583593,85.86632130711081,0.0,0.0,0.0,0.009791602050842625,0.0,0.0,0.0
Ps_2,-1.3064970097040087,-0.3052920626932676,16.361868299462408,-159.63029260959695,7.600922620068803,-36.445484757579905,66.83881486894464,0.0,81.83125806777775,0.0,0.0,0.0,0.008907612884739567,0.0,0.0
Ps_3,-0.9521822857595272,-0.22954889923032978,12.82899872227219,-127.06931751970362,5.448929678075219,-27.698166033822908,55.68721551948167,0.0,0.0,67.34308892078778,0.0,0.0,0.0,0.006997601550042233,0.0
Ps_4,-0.7015632589225728,-0.17030996147440686,11.218043414160753,-111.33354345537646,3.563965656154393,-20.946332185755956,50.63472343686436,0.0,0.0,0.0,61.42551664566267,0.0,0.0,0.0,0.006078304586052691
