,h,Omegab,ns,w0,sigma8,wa,Omegam,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,13864986.240377426,-38561.87110071414,112027.58750412597,-770815.7281816864,-1678202.0234324774,-155662.43323030355,-4036056.941425913,-1860150.0854856446,-1824680.45347957,-1555675.2764339652,-1494309.351801915,-171.27896054754711,-158.30359369387486,-126.32829532658894,-111.17316903951506
Omegab,-38561.87110071414,4632290.2735532345,-883079.0751265213,78464.42578888885,26277.120483187522,20808.45994188872,-1611026.8747737631,-71463.45877669996,-31201.17596392313,31433.114447863656,155372.73610534382,-38.44171135039846,-35.02425039362864,-26.680754775574687,-20.284150574177925
ns,112027.58750412597,-883079.0751265213,253178.7920544779,-55852.83456050774,-39689.693808152704,-13492.88663942182,310063.62991469284,-18376.39453710914,-30741.98072590395,-44080.31108012135,-78788.62374812161,8.573055934824893,7.536423644979076,5.431123417252816,3.5941337949949173
w0,-770815.7281816864,78464.42578888885,-55852.83456050774,70422.90069703803,87299.31725227644,16533.483531979546,242129.85574096575,123745.76660011867,128056.56126007155,114102.75751886418,116008.65484381905,8.531876045953199,8.582921162268981,7.306652892275819,6.873860987627419
sigma8,-1678202.0234324774,26277.120483187522,-39689.693808152704,87299.31725227644,268635.2342930426,13646.013433655029,326108.0067300081,200897.09365131025,193728.768276979,163753.19870804308,159150.4848754888,17.68655144954569,16.00825168418542,12.580715533559793,11.048514957589788
wa,-155662.43323030355,20808.45994188872,-13492.88663942182,16533.483531979546,13646.013433655029,4244.942329621921,60968.86798335419,25786.2046189604,28917.027044052054,27262.593068586815,29085.89499588361,1.6863274383945062,1.8583462871992182,1.6889439212106607,1.6835111552906428
Omegam,-4036056.941425913,-1611026.8747737631,310063.62991469284,242129.85574096575,326108.0067300081,60968.86798335419,2287383.8719888637,617285.5363572708,635800.0074244895,554940.9860798648,520772.2315600858,66.48947323821692,64.84592209135532,54.166883531110194,49.48855312434123
lnbgs8_1,-1860150.0854856446,-71463.45877669996,-18376.39453710914,123745.76660011867,200897.09365131025,25786.2046189604,617285.5363572708,1011775.9377129405,0.0,0.0,0.0,84.28360971568645,0.0,0.0,0.0
lnbgs8_2,-1824680.45347957,-31201.17596392313,-30741.98072590395,128056.56126007155,193728.768276979,28917.027044052054,635800.0074244895,0.0,1018330.5311391806,0.0,0.0,0.0,80.46802160441457,0.0,0.0
lnbgs8_3,-1555675.2764339652,31433.114447863656,-44080.31108012135,114102.75751886418,163753.19870804308,27262.593068586815,554940.9860798648,0.0,0.0,892001.9860693453,0.0,0.0,0.0,66.39877904725816,0.0
lnbgs8_4,-1494309.351801915,155372.73610534382,-78788.62374812161,116008.65484381905,159150.4848754888,29085.89499588361,520772.2315600858,0.0,0.0,0.0,886274.916733893,0.0,0.0,0.0,60.84515840137615
Ps_1,-171.27896054754711,-38.44171135039846,8.573055934824893,8.531876045953199,17.68655144954569,1.6863274383945062,66.48947323821692,84.28360971568645,0.0,0.0,0.0,0.009383103378870787,0.0,0.0,0.0
Ps_2,-158.30359369387486,-35.02425039362864,7.536423644979076,8.582921162268981,16.00825168418542,1.8583462871992182,64.84592209135532,0.0,80.46802160441457,0.0,0.0,0.0,0.008555064912310747,0.0,0.0
Ps_3,-126.32829532658894,-26.680754775574687,5.431123417252816,7.306652892275819,12.580715533559793,1.6889439212106607,54.166883531110194,0.0,0.0,66.39877904725816,0.0,0.0,0.0,0.006741749099799441,0.0
Ps_4,-111.17316903951506,-20.284150574177925,3.5941337949949173,6.873860987627419,11.048514957589788,1.6835111552906428,49.48855312434123,0.0,0.0,0.0,60.84515840137615,0.0,0.0,0.0,0.005886535048554071
