,Omegam,ns,w0,wa,h,sigma8,Omegab,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2286756.3509146348,309791.69871840166,242216.60289561836,60983.16686945278,-4035745.27380455,326221.1086620664,-1608766.2004146967,617341.3839960834,635825.4408551455,554974.7464424833,520821.7934686935,66.48683846567248,64.84073697458915,54.16381080754931,49.48482795046406
ns,309791.69871840166,253169.99947047647,-55872.728071037294,-13496.734600774791,112056.8570964475,-39697.30962071632,-883163.3244603465,-18399.117785904848,-30762.058124489136,-44094.14842471322,-78793.89704340923,8.570120570831739,7.533717126147416,5.428981761438646,3.592311452958541
w0,242216.60289561836,-55872.728071037294,70445.53022428094,16537.205693210628,-770903.0443361367,87333.03806531627,79081.7709635144,123780.4826361986,128083.020299413,114129.49484412634,116028.77244694186,8.534645222665208,8.585139022119884,7.308651220583522,6.8752093863261265
wa,60983.16686945278,-13496.734600774791,16537.205693210628,4245.387134721128,-155687.0553479572,13653.684802039275,20954.724528771374,25793.38380170236,28918.84535925295,27269.51549412946,29091.485633180106,1.686992494518,1.858301973635552,1.6894754210445169,1.6841080705826497
h,-4035745.27380455,112056.8570964475,-770903.0443361367,-155687.0553479572,13857255.367447276,-1677690.5584969106,-36283.9837830654,-1859585.1235339316,-1824158.434162877,-1555240.3391247806,-1493874.016931691,-171.22636528512828,-158.26040843832124,-126.29701024700752,-111.14964712750569
sigma8,326221.1086620664,-39697.30962071632,87333.03806531627,13653.684802039275,-1677690.5584969106,268611.61873281427,26498.127179183895,200884.71634350816,193719.3522852227,163742.46360833553,159137.81865577953,17.68659949275812,16.008527581081548,12.580743807118015,11.04856793945813
Omegab,-1608766.2004146967,-883163.3244603465,79081.7709635144,20954.724528771374,-36283.9837830654,26498.127179183895,4617519.584292419,-71156.11357733922,-30841.34195922455,31652.206539747363,155598.92299874715,-38.40615796479735,-34.98762286432979,-26.657127919563287,-20.261099106457827
lnbgs8_1,617341.3839960834,-18399.117785904848,123780.4826361986,25793.38380170236,-1859585.1235339316,200884.71634350816,-71156.11357733922,1011736.5080803633,0.0,0.0,0.0,84.28597990566773,0.0,0.0,0.0
lnbgs8_2,635825.4408551455,-30762.058124489136,128083.020299413,28918.84535925295,-1824158.434162877,193719.3522852227,-30841.34195922455,0.0,1018286.0251192661,0.0,0.0,0.0,80.46978010505893,0.0,0.0
lnbgs8_3,554974.7464424833,-44094.14842471322,114129.49484412634,27269.51549412946,-1555240.3391247806,163742.46360833553,31652.206539747363,0.0,0.0,891962.6558108409,0.0,0.0,0.0,66.40020925932438,0.0
lnbgs8_4,520821.7934686935,-78793.89704340923,116028.77244694186,29091.485633180106,-1493874.016931691,159137.81865577953,155598.92299874715,0.0,0.0,0.0,886218.5836107604,0.0,0.0,0.0,60.846116550679525
Ps_1,66.48683846567248,8.570120570831739,8.534645222665208,1.686992494518,-171.22636528512828,17.68659949275812,-38.40615796479735,84.28597990566773,0.0,0.0,0.0,0.009383294973770152,0.0,0.0,0.0
Ps_2,64.84073697458915,7.533717126147416,8.585139022119884,1.858301973635552,-158.26040843832124,16.008527581081548,-34.98762286432979,0.0,80.46978010505893,0.0,0.0,0.0,0.008555174965773283,0.0,0.0
Ps_3,54.16381080754931,5.428981761438646,7.308651220583522,1.6894754210445169,-126.29701024700752,12.580743807118015,-26.657127919563287,0.0,0.0,66.40020925932438,0.0,0.0,0.0,0.006741808180047395,0.0
Ps_4,49.48482795046406,3.592311452958541,6.8752093863261265,1.6841080705826497,-111.14964712750569,11.04856793945813,-20.261099106457827,0.0,0.0,0.0,60.846116550679525,0.0,0.0,0.0,0.005886581295149705
